"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 07, 2019","0.05618","0.05522","0.05682","0.05478","42.98M","1.73%"
"Jul 06, 2019","0.05522","0.05356","0.05722","0.05356","45.20M","3.26%"
"Jul 05, 2019","0.05348","0.05260","0.05437","0.05213","48.49M","1.66%"
"Jul 04, 2019","0.05261","0.05459","0.05608","0.05241","48.80M","-3.63%"
"Jul 03, 2019","0.05459","0.05433","0.05578","0.05348","46.41M","0.48%"
"Jul 02, 2019","0.05433","0.05606","0.05646","0.05269","46.98M","-3.09%"
"Jul 01, 2019","0.05606","0.05379","0.06020","0.05375","56.38M","4.22%"
"Jun 30, 2019","0.05379","0.05747","0.05916","0.05371","52.25M","-6.41%"
"Jun 29, 2019","0.05747","0.05728","0.05837","0.05506","52.11M","0.34%"
"Jun 28, 2019","0.05728","0.05487","0.06016","0.05461","54.36M","4.40%"
"Jun 27, 2019","0.05487","0.06185","0.06271","0.05263","130.57M","-11.28%"
"Jun 26, 2019","0.06185","0.06439","0.06585","0.06076","217.39M","-3.95%"
"Jun 25, 2019","0.06439","0.06336","0.06495","0.06124","180.52M","1.63%"
"Jun 24, 2019","0.06336","0.06177","0.06412","0.06100","30.42M","2.85%"
"Jun 23, 2019","0.06160","0.06478","0.06598","0.06114","194.36M","-4.90%"
"Jun 22, 2019","0.06478","0.06025","0.06616","0.05978","195.34M","7.51%"
"Jun 21, 2019","0.06026","0.06279","0.06421","0.05987","201.68M","-4.04%"
"Jun 20, 2019","0.06279","0.06711","0.06745","0.06168","205.72M","-6.43%"
"Jun 19, 2019","0.06711","0.06552","0.06769","0.06544","175.24M","2.42%"
"Jun 18, 2019","0.06553","0.06869","0.07277","0.06482","208.05M","-4.58%"
"Jun 17, 2019","0.06867","0.06572","0.07216","0.06557","246.95M","4.47%"
"Jun 16, 2019","0.06573","0.06509","0.06773","0.06361","215.99M","0.99%"
"Jun 15, 2019","0.06509","0.06368","0.06613","0.06342","15.27M","2.20%"
"Jun 14, 2019","0.06368","0.06674","0.06869","0.06194","20.78M","-4.58%"
"Jun 13, 2019","0.06674","0.06566","0.07172","0.06432","22.90M","1.64%"
"Jun 12, 2019","0.06566","0.06629","0.06670","0.06420","16.80M","-0.95%"
"Jun 11, 2019","0.06629","0.06906","0.06923","0.06275","17.42M","-4.01%"
"Jun 10, 2019","0.06906","0.06420","0.07042","0.06271","23.63M","7.57%"
"Jun 09, 2019","0.06420","0.06298","0.06627","0.06161","19.63M","1.94%"
"Jun 08, 2019","0.06298","0.06303","0.06467","0.06130","16.79M","-0.08%"
"Jun 07, 2019","0.06303","0.06010","0.06499","0.05969","16.20M","4.87%"
"Jun 06, 2019","0.06010","0.05909","0.06049","0.05760","15.38M","1.71%"
"Jun 05, 2019","0.05909","0.05960","0.06096","0.05732","15.65M","-0.85%"
"Jun 04, 2019","0.05960","0.06160","0.06160","0.05809","19.09M","-3.39%"
"Jun 03, 2019","0.06169","0.06770","0.06831","0.06109","16.85M","-8.88%"
"Jun 02, 2019","0.06770","0.06709","0.06856","0.06619","16.92M","0.91%"
"Jun 01, 2019","0.06709","0.07008","0.07118","0.06682","17.73M","-4.27%"
"May 31, 2019","0.07008","0.06833","0.07050","0.06583","15.23M","2.56%"
"May 30, 2019","0.06833","0.07230","0.07628","0.06787","22.47M","-5.49%"
"May 29, 2019","0.07230","0.07430","0.07439","0.07005","16.27M","-2.69%"
"May 28, 2019","0.07430","0.07086","0.07753","0.07033","20.01M","4.85%"
"May 27, 2019","0.07086","0.06985","0.07374","0.06885","21.58M","1.45%"
"May 26, 2019","0.06985","0.06743","0.07097","0.06601","18.90M","3.59%"
"May 25, 2019","0.06743","0.06975","0.07061","0.06661","17.15M","-3.33%"
"May 24, 2019","0.06975","0.06900","0.07673","0.06900","24.88M","1.09%"
"May 23, 2019","0.06900","0.06400","0.07158","0.06182","23.56M","7.82%"
"May 22, 2019","0.06400","0.06539","0.07200","0.06208","21.91M","-2.13%"
"May 21, 2019","0.06539","0.06366","0.06727","0.06207","20.98M","2.72%"
"May 20, 2019","0.06366","0.06354","0.06400","0.05872","16.43M","0.18%"
"May 19, 2019","0.06354","0.06005","0.06412","0.05996","17.74M","5.81%"
"May 18, 2019","0.06005","0.05889","0.06267","0.05827","19.82M","1.98%"
"May 17, 2019","0.05889","0.06410","0.06484","0.05560","21.21M","-8.13%"
"May 16, 2019","0.06410","0.06977","0.07752","0.06100","30.47M","-8.13%"
"May 15, 2019","0.06977","0.06030","0.07056","0.05995","24.12M","15.72%"
"May 14, 2019","0.06030","0.05555","0.06046","0.05495","18.40M","8.54%"
"May 13, 2019","0.05555","0.05503","0.06209","0.05503","16.30M","0.95%"
"May 12, 2019","0.05503","0.05886","0.06169","0.05466","17.51M","-6.51%"
"May 11, 2019","0.05886","0.05529","0.05986","0.05442","20.46M","6.46%"
"May 10, 2019","0.05529","0.05343","0.05644","0.05241","16.59M","3.47%"
"May 09, 2019","0.05343","0.05830","0.05908","0.05332","16.14M","-8.35%"
"May 08, 2019","0.05830","0.05692","0.05857","0.05542","15.65M","2.42%"
"May 07, 2019","0.05692","0.06000","0.06252","0.05673","18.43M","-5.13%"
"May 06, 2019","0.06000","0.05599","0.06444","0.05481","22.00M","7.15%"
"May 05, 2019","0.05599","0.05811","0.05839","0.05540","14.57M","-3.79%"
"May 04, 2019","0.05820","0.05972","0.06159","0.05535","17.08M","-2.54%"
"May 03, 2019","0.05972","0.05990","0.06059","0.05803","16.73M","-0.30%"
"May 02, 2019","0.05990","0.05901","0.06088","0.05810","13.88M","1.50%"
"May 01, 2019","0.05901","0.05922","0.06009","0.05750","14.43M","-0.35%"
"Apr 30, 2019","0.05922","0.05709","0.05987","0.05591","15.63M","3.73%"
"Apr 29, 2019","0.05709","0.05967","0.06147","0.05661","14.69M","-4.32%"
"Apr 28, 2019","0.05967","0.05961","0.06283","0.05900","14.36M","0.10%"
"Apr 27, 2019","0.05961","0.05801","0.06138","0.05699","15.01M","2.77%"
"Apr 26, 2019","0.05801","0.05884","0.06079","0.05605","16.58M","-1.42%"
"Apr 25, 2019","0.05884","0.05890","0.06375","0.05674","17.89M","-0.10%"
"Apr 24, 2019","0.05890","0.06256","0.06317","0.05715","23.70M","-5.85%"
"Apr 23, 2019","0.06256","0.06656","0.06752","0.06253","19.16M","-6.00%"
"Apr 22, 2019","0.06656","0.06783","0.06925","0.06509","18.33M","-1.88%"
"Apr 21, 2019","0.06783","0.07396","0.07418","0.06520","23.53M","-8.28%"
"Apr 20, 2019","0.07396","0.07589","0.07593","0.07265","17.35M","-2.54%"
"Apr 19, 2019","0.07589","0.07371","0.07859","0.07141","35.09M","2.96%"
"Apr 18, 2019","0.07371","0.07124","0.07600","0.07110","50.59M","3.33%"
"Apr 17, 2019","0.07133","0.07302","0.07397","0.07100","50.86M","-2.30%"
"Apr 16, 2019","0.07301","0.07141","0.07689","0.07031","52.82M","2.25%"
"Apr 15, 2019","0.07141","0.07580","0.07679","0.07041","49.72M","-5.79%"
"Apr 14, 2019","0.07580","0.07470","0.07706","0.07361","49.19M","1.47%"
"Apr 13, 2019","0.07470","0.07751","0.08077","0.07322","51.90M","-3.63%"
"Apr 12, 2019","0.07751","0.07556","0.08015","0.07210","56.53M","2.59%"
"Apr 11, 2019","0.07556","0.08550","0.08578","0.07255","58.48M","-11.63%"
"Apr 10, 2019","0.08550","0.08643","0.09002","0.08474","49.68M","-1.07%"
"Apr 09, 2019","0.08643","0.09209","0.09247","0.08091","50.82M","-6.15%"
"Apr 08, 2019","0.09209","0.10682","0.10755","0.08760","24.49M","-13.79%"
"Apr 07, 2019","0.10682","0.09141","0.11369","0.09141","31.38M","16.85%"
"Apr 06, 2019","0.09141","0.08586","0.09404","0.08567","13.60M","6.47%"
"Apr 05, 2019","0.08586","0.08104","0.08586","0.08104","5.05M","5.96%"
"Apr 04, 2019","0.08104","0.07650","0.08933","0.07602","14.38M","5.93%"
"Apr 03, 2019","0.07650","0.07274","0.08768","0.07142","16.04M","5.17%"
"Apr 02, 2019","0.07274","0.06870","0.07447","0.06819","7.91M","5.88%"
"Apr 01, 2019","0.06870","0.07049","0.07069","0.06810","5.33M","-2.54%"
"Mar 31, 2019","0.07049","0.06711","0.07231","0.06680","5.22M","5.03%"
"Mar 30, 2019","0.06711","0.06410","0.07138","0.06370","5.50M","4.70%"
"Mar 29, 2019","0.06410","0.06340","0.06500","0.06251","3.79M","1.11%"
"Mar 28, 2019","0.06340","0.06190","0.06510","0.06180","3.95M","2.42%"
"Mar 27, 2019","0.06190","0.06151","0.06509","0.06009","2.95M","0.64%"
"Mar 26, 2019","0.06151","0.05881","0.06451","0.05651","3.01M","4.60%"
"Mar 25, 2019","0.05881","0.06138","0.06186","0.05810","2.31M","-4.20%"
"Mar 24, 2019","0.06138","0.06200","0.06247","0.06070","2.12M","-1.00%"
"Mar 23, 2019","0.06200","0.06082","0.06243","0.06050","1.35M","1.94%"
"Mar 22, 2019","0.06082","0.06081","0.06140","0.06002","1.88M","0.03%"
"Mar 21, 2019","0.06081","0.06420","0.06520","0.05774","2.29M","-5.29%"
"Mar 20, 2019","0.06420","0.06369","0.06497","0.06220","3.48M","0.79%"
"Mar 19, 2019","0.06369","0.06242","0.06419","0.06163","1.74M","2.04%"
"Mar 18, 2019","0.06242","0.06340","0.06409","0.06199","1.74M","-1.54%"
"Mar 17, 2019","0.06340","0.06500","0.06500","0.06280","1.03M","-2.46%"
"Mar 16, 2019","0.06500","0.06490","0.06599","0.06310","3.37M","0.61%"
"Mar 15, 2019","0.06460","0.06460","0.06510","0.06370","1.25M","0.01%"
"Mar 14, 2019","0.06460","0.06190","0.06530","0.06141","1.74M","4.36%"
"Mar 13, 2019","0.06190","0.06360","0.06459","0.06100","2.39M","-2.67%"
"Mar 12, 2019","0.06360","0.06161","0.06560","0.05851","4.37M","3.22%"
"Mar 11, 2019","0.06161","0.06740","0.06750","0.06010","6.22M","-8.58%"
"Mar 10, 2019","0.06740","0.06528","0.06740","0.06071","5.15M","3.25%"
"Mar 09, 2019","0.06528","0.05719","0.06528","0.05710","4.75M","14.14%"
"Mar 08, 2019","0.05719","0.05709","0.06120","0.05682","1.99M","0.18%"
"Mar 07, 2019","0.05709","0.05610","0.05759","0.05580","1.18M","1.76%"
"Mar 06, 2019","0.05610","0.05659","0.05679","0.05520","1.38M","-0.86%"
"Mar 05, 2019","0.05659","0.05469","0.05659","0.05341","1.48M","3.47%"
"Mar 04, 2019","0.05469","0.05750","0.05807","0.05230","2.18M","-4.89%"
"Mar 03, 2019","0.05750","0.05658","0.05957","0.05652","1.01M","1.63%"
"Mar 02, 2019","0.05658","0.05731","0.05779","0.05504","721.48K","-1.28%"
"Mar 01, 2019","0.05731","0.05650","0.05840","0.05550","1.17M","1.42%"
"Feb 28, 2019","0.05650","0.05772","0.05968","0.05599","1.87M","-2.11%"
"Feb 27, 2019","0.05772","0.05510","0.06160","0.05420","3.26M","4.76%"
"Feb 26, 2019","0.05510","0.05274","0.05906","0.05220","2.04M","4.46%"
"Feb 25, 2019","0.05274","0.05185","0.05311","0.05136","1.72M","1.72%"
"Feb 24, 2019","0.05185","0.05804","0.05961","0.05122","8.52M","-10.65%"
"Feb 23, 2019","0.05804","0.05663","0.05812","0.05533","5.37M","2.49%"
"Feb 22, 2019","0.05663","0.05509","0.05683","0.05450","2.52M","2.80%"
"Feb 21, 2019","0.05509","0.05738","0.05792","0.05455","3.09M","-4.00%"
"Feb 20, 2019","0.05738","0.05595","0.05905","0.05548","3.99M","2.56%"
"Feb 19, 2019","0.05595","0.05762","0.05824","0.05506","5.79M","-2.89%"
"Feb 18, 2019","0.05762","0.05610","0.05849","0.05610","4.08M","2.70%"
"Feb 17, 2019","0.05610","0.05488","0.05741","0.05414","1.27M","2.23%"
"Feb 16, 2019","0.05488","0.05502","0.05525","0.05393","3.48M","-0.27%"
"Feb 15, 2019","0.05502","0.05965","0.05965","0.05414","4.18M","-7.76%"
"Feb 14, 2019","0.05965","0.05335","0.06165","0.05335","8.01M","11.82%"
"Feb 13, 2019","0.05335","0.05366","0.05475","0.05282","1.89M","-0.58%"
"Feb 12, 2019","0.05366","0.05374","0.05423","0.05290","1.40M","-0.14%"
"Feb 11, 2019","0.05374","0.05502","0.05510","0.05265","1.70M","-2.34%"
"Feb 10, 2019","0.05502","0.05465","0.05540","0.05256","1.74M","0.67%"
"Feb 09, 2019","0.05465","0.05525","0.05599","0.05333","1.58M","-1.07%"
"Feb 08, 2019","0.05525","0.05187","0.05638","0.05145","1.45M","6.51%"
"Feb 07, 2019","0.05187","0.05141","0.05279","0.05114","610.43K","0.89%"
"Feb 06, 2019","0.05141","0.05410","0.05410","0.05058","1.39M","-4.97%"
"Feb 05, 2019","0.05410","0.05524","0.05546","0.05387","589.81K","-2.06%"
"Feb 04, 2019","0.05524","0.05630","0.05657","0.05514","1.27M","-1.90%"
"Feb 03, 2019","0.05630","0.05662","0.05930","0.05585","1.98M","-0.57%"
"Feb 02, 2019","0.05662","0.05709","0.05833","0.05483","1.46M","-0.82%"
